,predicted_price,actual_price
0,1728.9868631595996,1650
1,2132.5074342264743,1975
2,2645.525367493078,950
3,2242.924368182953,1995
4,1876.7124133019215,4195
5,1824.136577564086,950
6,3491.975816638938,5495
7,2028.8820334954376,1646
8,2066.426800403221,1595
9,2219.4248341336415,2595
10,2028.8328104834861,1835
11,2141.9306216608757,1950
12,1984.8507647027802,1595
13,1911.2430294968344,2395
14,2371.165833745262,1645
15,2465.8331114607427,1595
16,2234.234608021212,2995
17,2215.1421056109866,1197
18,1885.2607714869332,1750
19,2205.2901806414857,2350
20,2188.7632109033552,950
21,2035.9866352173922,1595
22,1916.080812216163,1495
23,1835.4013155898747,1750
24,2205.5368730802916,2850
25,2162.400893957776,3495
26,2172.187562116019,2945
27,2070.358905308733,1595
28,2471.0415991779173,1646
29,2065.3828123816165,1650
30,2123.3825208097423,1795
31,2123.368802046971,2095
32,2126.5608789246426,850
33,1807.7758571459638,2450
34,1741.9279479427576,850
35,2173.173221829241,850
36,2142.5400627711397,2150
37,2277.913610092851,2395
38,2046.0082234833046,1995
39,1944.9677434691105,1435
40,2027.4791479009023,1750
41,1784.9487946615066,1450
42,2072.5606961104377,1595
43,2303.9157897680225,2850
44,3354.909657065492,1295
45,2674.6119347702775,2495
46,1986.770701975893,2150
47,1892.9426856758812,850
48,2381.1745321152484,1995
49,2084.8373503098314,2195
50,2028.960056038138,915
51,2219.9602624802774,995
52,2237.090205050493,3850
53,2589.7166614110683,2295
54,1728.9868631595996,1271
55,1877.4052798399991,795
56,2242.924368182953,2310
57,2003.4414388683667,1795
58,2084.8373503098314,850
59,2244.6760350320583,1995
60,2051.2266494233613,1995
61,2122.4937122038855,3495
62,2344.169551249947,2195
63,1759.178462930875,2050
64,2372.204312684152,2524
65,2059.022087391337,1750
66,2528.7297891004655,899
67,2026.3530104229035,5195
68,2153.283806427158,1350
69,1865.8419101883444,2107
70,1528.1978821987186,1995
71,2033.520882931183,3495
